香港频道,#genre# 
TVBS 欢乐台 （备份）,http://192.168.31.4:8083/stv.php?id=tvbshuanle_twn
TVBS HD,http://192.168.31.4:8083/stv.php?id=tvbs
中天新闻 HD,http://192.168.31.4:8083/stv.php?id=ctinews
中天娱乐 CTI Entertaiment,http://192.168.31.4:8083/stv.php?id=ctient
中天综合 CTI Metro,http://192.168.31.4:8083/stv.php?id=ctizhonghe
中天亚洲台,http://192.168.31.4:8083/stv.php?id=ctiasia_twn
台视 TTV HD,http://192.168.31.4:8083/stv.php?id=ttv_taiwan
台视新闻台,http://192.168.31.4:8083/stv.php?id=ttvnews_twn
台视综合台,http://192.168.31.4:8083/stv.php?id=ttvzhonghe
中视 HD,http://192.168.31.4:8083/stv.php?id=zhongshihd_twn
中视新闻台,http://192.168.31.4:8083/stv.php?id=zhongshinews_twn
民视 HD,http://192.168.31.4:8083/stv.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://192.168.31.4:8083/stv.php?id=ftvnew_taiwan
民视台湾台,http://192.168.31.4:8083/stv.php?id=ftvtaiwan_twn
华视 CTS HD,http://192.168.31.4:8083/stv.php?id=ctshd_twn
公视 CTV,http://192.168.31.4:8083/stv.php?id=ctv18_twn
八大第一 GTV First,http://192.168.31.4:8083/stv.php?id=badafirst
八大综合 GTV Metro,http://192.168.31.4:8083/stv.php?id=badazhonghe
八大戏剧 GTV Drama,http://192.168.31.4:8083/stv.php?id=badadrama
八大娱乐 GTV Entertainment,http://192.168.31.4:8083/stv.php?id=badaentertain
HBO_HD,http://192.168.31.4:8083/stv.php?id=hbohd_twn
HBO_HITS,http://192.168.31.4:8083/stv.php?id=hbohit_twn
Hollywood Movies,http://192.168.31.4:8083/stv.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://192.168.31.4:8083/stv.php?id=sanlitaiwan
三立戏剧台,http://192.168.31.4:8083/stv.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://192.168.31.4:8083/stv.php?id=sanlizhonghe
三立都会台,http://192.168.31.4:8083/stv.php?id=sanlidouhui
东森新闻 ETTV News,http://192.168.31.4:8083/stv.php?id=ettvnews
CINEMAX,http://192.168.31.4:8083/stv.php?id=cinemax_twn
东森综合 ETTV Metro,http://192.168.31.4:8083/stv.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://192.168.31.4:8083/stv.php?id=ettvdrama
东森超视,http://192.168.31.4:8083/stv.php?id=ettvsuper
东森财经新闻 ETTV Business,http://192.168.31.4:8083/stv.php?id=ettvcaijing_twn
寰宇财经,http://192.168.31.4:8083/stv.php?id=huanyutaiwan_twn
寰宇新闻台,http://192.168.31.4:8083/stv.php?id=huanyuxinwen_twn
公视2,http://192.168.31.4:8083/stv.php?id=ctv2_twn
大爱1台,http://192.168.31.4:8083/stv.php?id=daai_twn
非凡新闻台,http://192.168.31.4:8083/stv.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://192.168.31.4:8083/stv.php?id=lunghuaxiju_twn
龙华经典台,http://192.168.31.4:8083/stv.php?id=lunghuajingdian_twn
龙华偶像,http://192.168.31.4:8083/stv.php?id=lunghuaidol_twn
AXN Taiwan,http://192.168.31.4:8083/stv.php?id=axn_twn
靖天国际台,http://192.168.31.4:8083/stv.php?id=jingtianintl_twn
年代新闻,http://192.168.31.4:8083/stv.php?id=niandainews_twn
纬来日本台,http://192.168.31.4:8083/stv.php?id=videolandjapan
纬来电影台,http://192.168.31.4:8083/stv.php?id=videolandmovie
纬来体育台,http://192.168.31.4:8083/stv.php?id=videolandsport
纬来综合台,http://192.168.31.4:8083/stv.php?id=videolandzonghe
纬来育乐,http://192.168.31.4:8083/stv.php?id=videolandyule
纬来精彩,http://192.168.31.4:8083/stv.php?id=videolandspecial_twn
好消息 2,http://192.168.31.4:8083/stv.php?id=good2_twn
大爱2台,http://192.168.31.4:8083/stv.php?id=daai2_twn
亚洲美食,http://192.168.31.4:8083/stv.php?id=afc_twn
美食星球,http://192.168.31.4:8083/stv.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://192.168.31.4:8083/stv.php?id=tlc_twn
东森电影 ETTV Movie,http://192.168.31.4:8083/stv.php?id=ettvmovie
阿里郎 Arirang,http://192.168.31.4:8083/stv.php?id=arirang_twn
博斯运动 1,http://192.168.31.4:8083/stv.php?id=bosisport1_twn
博斯运动 2,http://192.168.31.4:8083/stv.php?id=bosisport2_twn
博斯高球2 HD,http://192.168.31.4:8083/stv.php?id=bosigolf2_twn
博斯网球 HD,http://192.168.31.4:8083/stv.php?id=bositennis_twn
东森洋片 ETTV Western,http://192.168.31.4:8083/stv.php?id=ettvwestern
龙华洋片 Lunghua Western,http://192.168.31.4:8083/stv.php?id=lunghuawestern_twn
博斯无限,http://192.168.31.4:8083/stv.php?id=bosiunlimited_twn
MTV Live,http://192.168.31.4:8083/stv.php?id=mtvhd_twn
龙详时代,http://192.168.31.4:8083/stv.php?id=lungxiangtime_twn
EYETV 旅游,http://192.168.31.4:8083/stv.php?id=eyetvtravel_twn
靖天卡通台,http://192.168.31.4:8083/stv.php?id=jingtiancartoon_twn
EYETV 戏剧,http://192.168.31.4:8083/stv.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://192.168.31.4:8083/stv.php?id=weishichinese_twn
