常看频道,#genre#
凤凰中文,http://101.35.240.114:88/phenix.php?id=fhzw
凤凰香港,http://101.35.240.114:88/phenix.php?id=fhhk

CCTV-5HD,http://39.165.39.49:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒店
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+HD,http://39.165.39.49:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒
ELTA体育1,id=eltasports1
ELTA体育1,http://atryffad.usa3.345123.xyz/jrw.php?id=eltasports1
ELTA体育1,http://atryffad.usa3.345123.xyz/jrw.php?id=188
ELTA体育2,http://atryffad.usa3.345123.xyz/jrw.php?id=eltasports2
ELTA体育2,http://atryffad.usa3.345123.xyz/jrw.php?id=189
ELTA体育4,http://atryffad.usa3.345123.xyz/jrw.php?id=eltasports4
ELTA体育MAX1,http://atryffad.usa3.345123.xyz/jrw.php?id=eltaspmax1
ELTA体育MAX2,http://atryffad.usa3.345123.xyz/jrw.php?id=eltaspmax2
ELTA体育MAX3,http://atryffad.usa3.345123.xyz/jrw.php?id=eltaspmax3
ELTA体育MAX4,http://atryffad.usa3.345123.xyz/jrw.php?id=eltaspmax4


💛央视广西,#genre#
南宁新闻综合,http://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁新闻综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁新闻综合,http://live.xmcdn.com/live/305/64.m3u8?aac
南宁都市生活,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
广西新闻,http://221.7.175.154:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻,https://tv.gxtv.cn/channel/channelivePlay_9dfd8600075811e9ba67e41f13b60c62.html
广西新闻,http://113.15.109.216:59901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻,http://38.75.136.137:98/gslb/dsdqpub/gxxw.m3u8?auth=testpub
广西新闻,http://36.136.38.87:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV1,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒店
CCTV4,http://39.165.39.49:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒店
CCTV5,http://39.165.39.49:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒店
CCTV8,http://39.165.39.49:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒店
CCTV12,http://39.165.39.49:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0$河南移动酒店

凤凰中文Pdtv,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯Pdtv,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港Pdtv,http://rihou.cc:555/tv/[Pd]凤凰香港


