
4GTV,#genre#
KLT-靖天國際台,http://192.168.31.4:19950/playlist?channel=KLT-%E9%9D%96%E5%A4%A9%E5%9C%8B%E9%9A%9B%E5%8F%B0&token=3737

Nice TV 靖天歡樂台,http://192.168.31.4:19950/playlist?channel=Nice%20TV%20%E9%9D%96%E5%A4%A9%E6%AD%A1%E6%A8%82%E5%8F%B0&token=3737

靖天資訊台,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E5%A4%A9%E8%B3%87%E8%A8%8A%E5%8F%B0&token=3737
TVBS歡樂台,http://192.168.31.4:19950/playlist?channel=TVBS%E6%AD%A1%E6%A8%82%E5%8F%B0&token=3737

韓國娛樂台 KMTV,http://192.168.31.4:19950/playlist?channel=%E9%9F%93%E5%9C%8B%E5%A8%9B%E6%A8%82%E5%8F%B0%20KMTV&token=3737
ROCK Entertainment,http://192.168.31.4:19950/playlist?channel=ROCK%20Entertainment&token=3737

Lifetime 娛樂頻道,http://192.168.31.4:19950/playlist?channel=Lifetime%20%E5%A8%9B%E6%A8%82%E9%A0%BB%E9%81%93&token=3737
電影原聲台CMusic,http://192.168.31.4:19950/playlist?channel=%E9%9B%BB%E5%BD%B1%E5%8E%9F%E8%81%B2%E5%8F%B0CMusic&token=3737
TRACE Urban,http://192.168.31.4:19950/playlist?channel=TRACE%20Urban&token=3737
Mezzo Live HD,http://192.168.31.4:19950/playlist?channel=Mezzo%20Live%20HD&token=3737
CLASSICA 古典樂,http://192.168.31.4:19950/playlist?channel=CLASSICA%20%E5%8F%A4%E5%85%B8%E6%A8%82&token=3737



博斯高球台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E9%AB%98%E7%90%83%E5%8F%B0&token=3737
博斯高球二台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E9%AB%98%E7%90%83%E4%BA%8C%E5%8F%B0&token=3737
博斯運動一台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E9%81%8B%E5%8B%95%E4%B8%80%E5%8F%B0&token=3737
博斯無限台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E7%84%A1%E9%99%90%E5%8F%B0&token=3737
博斯網球台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E7%B6%B2%E7%90%83%E5%8F%B0&token=3737
博斯運動二台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E9%81%8B%E5%8B%95%E4%BA%8C%E5%8F%B0&token=3737
博斯魅力台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E9%AD%85%E5%8A%9B%E5%8F%B0&token=3737
博斯無限二台,http://192.168.31.4:19950/playlist?channel=%E5%8D%9A%E6%96%AF%E7%84%A1%E9%99%90%E4%BA%8C%E5%8F%B0&token=3737
TRACE Sport Stars,http://192.168.31.4:19950/playlist?channel=TRACE%20Sport%20Stars&token=3737
智林體育台,http://192.168.31.4:19950/playlist?channel=%E6%99%BA%E6%9E%97%E9%AB%94%E8%82%B2%E5%8F%B0&token=3737
時尚運動X,http://192.168.31.4:19950/playlist?channel=%E6%99%82%E5%B0%9A%E9%81%8B%E5%8B%95X&token=3737
車迷TV,http://192.168.31.4:19950/playlist?channel=%E8%BB%8A%E8%BF%B7TV&token=3737
GINX Esports TV,http://192.168.31.4:19950/playlist?channel=GINX%20Esports%20TV&token=3737
Pet Club TV,http://192.168.31.4:19950/playlist?channel=Pet%20Club%20TV&token=3737

民視旅遊台,http://192.168.31.4:19950/playlist?channel=%E6%B0%91%E8%A6%96%E6%97%85%E9%81%8A%E5%8F%B0&token=3737
滾動力rollor,http://192.168.31.4:19950/playlist?channel=%E6%BB%BE%E5%8B%95%E5%8A%9Brollor&token=3737
